node,degree_x,degree_y,degree_increase,degree_prob_x
2,4,5,1,0.0022675736961451248
3,2,2,0,0.0011337868480725624
4,10,10,0,0.005668934240362812
5,12,12,0,0.006802721088435374
6,20,20,0,0.011337868480725623
8,1,4,3,0.0005668934240362812
9,2,5,3,0.0011337868480725624
10,6,6,0,0.003401360544217687
11,1,3,2,0.0005668934240362812
12,2,4,2,0.0011337868480725624
13,12,13,1,0.006802721088435374
14,33,42,9,0.01870748299319728
15,2,5,3,0.0011337868480725624
17,1,3,2,0.0005668934240362812
20,2,5,3,0.0011337868480725624
25,8,9,1,0.0045351473922902496
26,2,2,0,0.0011337868480725624
37,3,5,2,0.0017006802721088435
38,1,1,0,0.0005668934240362812
39,6,7,1,0.003401360544217687
40,5,6,1,0.002834467120181406
41,8,12,4,0.0045351473922902496
42,4,4,0,0.0022675736961451248
44,3,3,0,0.0017006802721088435
45,3,3,0,0.0017006802721088435
46,1,9,8,0.0005668934240362812
47,2,2,0,0.0011337868480725624
48,9,9,0,0.00510204081632653
50,1,1,0,0.0005668934240362812
54,21,23,2,0.011904761904761904
55,1,1,0,0.0005668934240362812
61,1,19,18,0.0005668934240362812
70,1,1,0,0.0005668934240362812
71,2,2,0,0.0011337868480725624
72,10,10,0,0.005668934240362812
73,12,13,1,0.006802721088435374
74,4,4,0,0.0022675736961451248
75,2,5,3,0.0011337868480725624
78,1,3,2,0.0005668934240362812
80,1,3,2,0.0005668934240362812
84,1,2,1,0.0005668934240362812
85,1,2,1,0.0005668934240362812
86,10,10,0,0.005668934240362812
88,1,3,2,0.0005668934240362812
90,4,4,0,0.0022675736961451248
91,21,21,0,0.011904761904761904
92,14,14,0,0.007936507936507936
93,4,4,0,0.0022675736961451248
94,23,23,0,0.013038548752834467
95,2,2,0,0.0011337868480725624
96,1,4,3,0.0005668934240362812
97,6,7,1,0.003401360544217687
98,1,2,1,0.0005668934240362812
101,5,5,0,0.002834467120181406
102,2,2,0,0.0011337868480725624
103,5,5,0,0.002834467120181406
104,2,14,12,0.0011337868480725624
105,1,1,0,0.0005668934240362812
106,1,1,0,0.0005668934240362812
107,4,6,2,0.0022675736961451248
108,3,5,2,0.0017006802721088435
115,1,3,2,0.0005668934240362812
116,1,1,0,0.0005668934240362812
117,31,32,1,0.017573696145124718
122,1,11,10,0.0005668934240362812
123,1,1,0,0.0005668934240362812
127,4,4,0,0.0022675736961451248
128,4,4,0,0.0022675736961451248
129,28,29,1,0.015873015873015872
130,10,11,1,0.005668934240362812
131,1,1,0,0.0005668934240362812
132,1,2,1,0.0005668934240362812
134,1,7,6,0.0005668934240362812
139,1,12,11,0.0005668934240362812
143,17,21,4,0.00963718820861678
146,9,10,1,0.00510204081632653
160,6,6,0,0.003401360544217687
164,4,4,0,0.0022675736961451248
165,4,4,0,0.0022675736961451248
166,16,16,0,0.009070294784580499
167,9,9,0,0.00510204081632653
168,1,4,3,0.0005668934240362812
170,4,6,2,0.0022675736961451248
171,2,7,5,0.0011337868480725624
176,1,1,0,0.0005668934240362812
177,1,1,0,0.0005668934240362812
178,1,2,1,0.0005668934240362812
179,2,2,0,0.0011337868480725624
181,1,1,0,0.0005668934240362812
182,8,8,0,0.0045351473922902496
183,1,1,0,0.0005668934240362812
184,3,5,2,0.0017006802721088435
185,1,5,4,0.0005668934240362812
187,1,7,6,0.0005668934240362812
188,1,3,2,0.0005668934240362812
191,1,2,1,0.0005668934240362812
193,4,7,3,0.0022675736961451248
194,4,4,0,0.0022675736961451248
195,1,1,0,0.0005668934240362812
200,10,10,0,0.005668934240362812
201,9,14,5,0.00510204081632653
202,1,3,2,0.0005668934240362812
203,1,3,2,0.0005668934240362812
212,6,6,0,0.003401360544217687
213,1,1,0,0.0005668934240362812
214,19,19,0,0.010770975056689343
215,1,1,0,0.0005668934240362812
217,3,5,2,0.0017006802721088435
218,1,6,5,0.0005668934240362812
224,1,2,1,0.0005668934240362812
228,1,4,3,0.0005668934240362812
229,1,2,1,0.0005668934240362812
231,1,7,6,0.0005668934240362812
232,2,3,1,0.0011337868480725624
234,10,10,0,0.005668934240362812
235,3,3,0,0.0017006802721088435
236,1,1,0,0.0005668934240362812
239,1,9,8,0.0005668934240362812
241,1,3,2,0.0005668934240362812
242,1,1,0,0.0005668934240362812
243,6,6,0,0.003401360544217687
244,4,4,0,0.0022675736961451248
245,2,5,3,0.0011337868480725624
246,4,5,1,0.0022675736961451248
247,1,1,0,0.0005668934240362812
248,21,21,0,0.011904761904761904
249,2,2,0,0.0011337868480725624
250,10,10,0,0.005668934240362812
251,4,9,5,0.0022675736961451248
255,3,14,11,0.0017006802721088435
266,1,2,1,0.0005668934240362812
268,2,4,2,0.0011337868480725624
270,5,19,14,0.002834467120181406
271,2,2,0,0.0011337868480725624
274,4,4,0,0.0022675736961451248
278,1,1,0,0.0005668934240362812
279,8,8,0,0.0045351473922902496
280,1,1,0,0.0005668934240362812
281,3,5,2,0.0017006802721088435
282,3,3,0,0.0017006802721088435
283,8,11,3,0.0045351473922902496
284,6,7,1,0.003401360544217687
285,1,1,0,0.0005668934240362812
286,1,1,0,0.0005668934240362812
287,15,16,1,0.008503401360544218
290,1,1,0,0.0005668934240362812
292,4,5,1,0.0022675736961451248
293,1,4,3,0.0005668934240362812
296,3,3,0,0.0017006802721088435
297,2,3,1,0.0011337868480725624
299,1,9,8,0.0005668934240362812
300,1,4,3,0.0005668934240362812
309,14,14,0,0.007936507936507936
312,1,1,0,0.0005668934240362812
315,2,4,2,0.0011337868480725624
319,3,3,0,0.0017006802721088435
320,7,7,0,0.003968253968253968
327,1,2,1,0.0005668934240362812
332,3,5,2,0.0017006802721088435
333,1,3,2,0.0005668934240362812
334,1,3,2,0.0005668934240362812
335,19,19,0,0.010770975056689343
336,1,1,0,0.0005668934240362812
337,1,3,2,0.0005668934240362812
343,4,4,0,0.0022675736961451248
344,2,2,0,0.0011337868480725624
345,4,4,0,0.0022675736961451248
346,2,3,1,0.0011337868480725624
349,3,3,0,0.0017006802721088435
350,1,1,0,0.0005668934240362812
351,11,11,0,0.006235827664399093
352,5,8,3,0.002834467120181406
355,1,1,0,0.0005668934240362812
356,3,5,2,0.0017006802721088435
359,2,6,4,0.0011337868480725624
360,10,10,0,0.005668934240362812
361,5,5,0,0.002834467120181406
362,1,4,3,0.0005668934240362812
368,1,4,3,0.0005668934240362812
369,2,5,3,0.0011337868480725624
370,4,4,0,0.0022675736961451248
371,2,2,0,0.0011337868480725624
372,2,2,0,0.0011337868480725624
375,4,4,0,0.0022675736961451248
376,1,1,0,0.0005668934240362812
377,6,6,0,0.003401360544217687
378,1,10,9,0.0005668934240362812
379,2,2,0,0.0011337868480725624
380,5,5,0,0.002834467120181406
381,3,3,0,0.0017006802721088435
382,1,1,0,0.0005668934240362812
387,1,1,0,0.0005668934240362812
389,1,6,5,0.0005668934240362812
393,1,3,2,0.0005668934240362812
394,2,9,7,0.0011337868480725624
395,2,2,0,0.0011337868480725624
397,3,3,0,0.0017006802721088435
398,10,10,0,0.005668934240362812
399,7,7,0,0.003968253968253968
400,2,2,0,0.0011337868480725624
401,1,1,0,0.0005668934240362812
402,1,5,4,0.0005668934240362812
406,2,2,0,0.0011337868480725624
408,2,2,0,0.0011337868480725624
410,2,3,1,0.0011337868480725624
411,10,11,1,0.005668934240362812
412,2,9,7,0.0011337868480725624
425,1,4,3,0.0005668934240362812
426,2,2,0,0.0011337868480725624
427,4,12,8,0.0022675736961451248
436,1,3,2,0.0005668934240362812
438,2,6,4,0.0011337868480725624
439,18,22,4,0.01020408163265306
444,1,1,0,0.0005668934240362812
447,2,2,0,0.0011337868480725624
448,3,3,0,0.0017006802721088435
450,1,3,2,0.0005668934240362812
452,1,2,1,0.0005668934240362812
453,1,2,1,0.0005668934240362812
454,2,3,1,0.0011337868480725624
456,1,4,3,0.0005668934240362812
458,2,2,0,0.0011337868480725624
460,1,3,2,0.0005668934240362812
461,3,5,2,0.0017006802721088435
462,1,1,0,0.0005668934240362812
463,1,1,0,0.0005668934240362812
473,1,4,3,0.0005668934240362812
477,1,1,0,0.0005668934240362812
478,1,1,0,0.0005668934240362812
479,1,3,2,0.0005668934240362812
480,1,3,2,0.0005668934240362812
481,1,1,0,0.0005668934240362812
483,1,1,0,0.0005668934240362812
484,1,1,0,0.0005668934240362812
485,8,10,2,0.0045351473922902496
486,3,3,0,0.0017006802721088435
487,3,3,0,0.0017006802721088435
490,1,1,0,0.0005668934240362812
491,9,9,0,0.00510204081632653
492,1,1,0,0.0005668934240362812
493,1,1,0,0.0005668934240362812
494,1,2,1,0.0005668934240362812
498,2,4,2,0.0011337868480725624
500,2,2,0,0.0011337868480725624
501,2,2,0,0.0011337868480725624
502,3,5,2,0.0017006802721088435
503,2,3,1,0.0011337868480725624
507,1,1,0,0.0005668934240362812
508,4,4,0,0.0022675736961451248
509,2,3,1,0.0011337868480725624
510,2,8,6,0.0011337868480725624
511,2,3,1,0.0011337868480725624
519,2,2,0,0.0011337868480725624
521,4,4,0,0.0022675736961451248
523,1,2,1,0.0005668934240362812
528,3,3,0,0.0017006802721088435
529,3,3,0,0.0017006802721088435
530,1,1,0,0.0005668934240362812
534,1,1,0,0.0005668934240362812
535,4,4,0,0.0022675736961451248
537,6,6,0,0.003401360544217687
538,1,2,1,0.0005668934240362812
539,2,3,1,0.0011337868480725624
540,4,4,0,0.0022675736961451248
542,1,1,0,0.0005668934240362812
543,2,2,0,0.0011337868480725624
547,1,2,1,0.0005668934240362812
548,1,2,1,0.0005668934240362812
549,2,2,0,0.0011337868480725624
550,2,2,0,0.0011337868480725624
555,2,3,1,0.0011337868480725624
557,2,4,2,0.0011337868480725624
559,8,8,0,0.0045351473922902496
561,2,5,3,0.0011337868480725624
563,2,2,0,0.0011337868480725624
564,3,3,0,0.0017006802721088435
565,2,2,0,0.0011337868480725624
566,2,2,0,0.0011337868480725624
569,1,1,0,0.0005668934240362812
574,2,2,0,0.0011337868480725624
575,2,2,0,0.0011337868480725624
576,8,8,0,0.0045351473922902496
577,1,1,0,0.0005668934240362812
579,1,1,0,0.0005668934240362812
580,2,2,0,0.0011337868480725624
582,2,5,3,0.0011337868480725624
583,2,2,0,0.0011337868480725624
584,1,1,0,0.0005668934240362812
585,1,2,1,0.0005668934240362812
586,1,1,0,0.0005668934240362812
588,1,2,1,0.0005668934240362812
589,1,2,1,0.0005668934240362812
591,2,2,0,0.0011337868480725624
592,4,4,0,0.0022675736961451248
593,1,1,0,0.0005668934240362812
594,2,3,1,0.0011337868480725624
596,2,3,1,0.0011337868480725624
597,3,3,0,0.0017006802721088435
598,1,2,1,0.0005668934240362812
601,3,3,0,0.0017006802721088435
602,1,2,1,0.0005668934240362812
603,4,4,0,0.0022675736961451248
622,1,1,0,0.0005668934240362812
623,3,3,0,0.0017006802721088435
625,2,2,0,0.0011337868480725624
626,2,5,3,0.0011337868480725624
630,3,6,3,0.0017006802721088435
631,1,1,0,0.0005668934240362812
632,2,3,1,0.0011337868480725624
633,1,1,0,0.0005668934240362812
635,4,4,0,0.0022675736961451248
643,1,5,4,0.0005668934240362812
647,1,1,0,0.0005668934240362812
648,1,1,0,0.0005668934240362812
654,2,2,0,0.0011337868480725624
656,1,2,1,0.0005668934240362812
657,1,2,1,0.0005668934240362812
659,3,3,0,0.0017006802721088435
662,2,2,0,0.0011337868480725624
665,2,2,0,0.0011337868480725624
666,2,2,0,0.0011337868480725624
667,1,4,3,0.0005668934240362812
668,2,3,1,0.0011337868480725624
669,1,1,0,0.0005668934240362812
671,2,2,0,0.0011337868480725624
672,2,2,0,0.0011337868480725624
673,2,2,0,0.0011337868480725624
674,8,8,0,0.0045351473922902496
675,2,2,0,0.0011337868480725624
677,4,4,0,0.0022675736961451248
678,3,3,0,0.0017006802721088435
681,2,2,0,0.0011337868480725624
683,5,11,6,0.002834467120181406
685,1,3,2,0.0005668934240362812
686,2,3,1,0.0011337868480725624
687,1,1,0,0.0005668934240362812
689,1,3,2,0.0005668934240362812
692,1,3,2,0.0005668934240362812
697,3,3,0,0.0017006802721088435
699,3,3,0,0.0017006802721088435
701,1,4,3,0.0005668934240362812
702,3,4,1,0.0017006802721088435
704,4,6,2,0.0022675736961451248
705,1,1,0,0.0005668934240362812
710,1,3,2,0.0005668934240362812
713,4,4,0,0.0022675736961451248
714,1,3,2,0.0005668934240362812
716,2,2,0,0.0011337868480725624
717,1,1,0,0.0005668934240362812
718,9,10,1,0.00510204081632653
719,2,10,8,0.0011337868480725624
720,1,1,0,0.0005668934240362812
722,13,18,5,0.007369614512471655
723,2,9,7,0.0011337868480725624
724,3,7,4,0.0017006802721088435
725,1,2,1,0.0005668934240362812
726,1,1,0,0.0005668934240362812
729,10,10,0,0.005668934240362812
730,10,10,0,0.005668934240362812
735,2,5,3,0.0011337868480725624
737,1,2,1,0.0005668934240362812
743,2,2,0,0.0011337868480725624
744,2,2,0,0.0011337868480725624
746,1,4,3,0.0005668934240362812
747,1,2,1,0.0005668934240362812
748,3,3,0,0.0017006802721088435
749,1,1,0,0.0005668934240362812
756,1,1,0,0.0005668934240362812
758,2,2,0,0.0011337868480725624
759,1,1,0,0.0005668934240362812
764,2,2,0,0.0011337868480725624
767,1,2,1,0.0005668934240362812
768,2,2,0,0.0011337868480725624
769,9,9,0,0.00510204081632653
770,1,1,0,0.0005668934240362812
771,2,2,0,0.0011337868480725624
773,1,1,0,0.0005668934240362812
776,6,6,0,0.003401360544217687
777,1,2,1,0.0005668934240362812
778,1,1,0,0.0005668934240362812
779,1,3,2,0.0005668934240362812
786,1,1,0,0.0005668934240362812
787,1,1,0,0.0005668934240362812
789,2,2,0,0.0011337868480725624
792,2,2,0,0.0011337868480725624
793,2,2,0,0.0011337868480725624
794,3,3,0,0.0017006802721088435
795,3,3,0,0.0017006802721088435
800,3,3,0,0.0017006802721088435
804,3,3,0,0.0017006802721088435
805,3,3,0,0.0017006802721088435
806,1,1,0,0.0005668934240362812
809,2,2,0,0.0011337868480725624
820,1,1,0,0.0005668934240362812
822,1,1,0,0.0005668934240362812
823,2,3,1,0.0011337868480725624
824,1,2,1,0.0005668934240362812
827,1,1,0,0.0005668934240362812
828,1,1,0,0.0005668934240362812
829,3,5,2,0.0017006802721088435
831,1,1,0,0.0005668934240362812
836,2,2,0,0.0011337868480725624
837,1,1,0,0.0005668934240362812
842,3,3,0,0.0017006802721088435
845,2,3,1,0.0011337868480725624
850,1,5,4,0.0005668934240362812
852,2,2,0,0.0011337868480725624
853,2,2,0,0.0011337868480725624
854,1,1,0,0.0005668934240362812
855,2,2,0,0.0011337868480725624
856,2,2,0,0.0011337868480725624
857,1,1,0,0.0005668934240362812
859,1,1,0,0.0005668934240362812
860,1,1,0,0.0005668934240362812
863,1,2,1,0.0005668934240362812
868,4,4,0,0.0022675736961451248
869,4,4,0,0.0022675736961451248
870,4,4,0,0.0022675736961451248
871,4,4,0,0.0022675736961451248
873,1,3,2,0.0005668934240362812
877,1,3,2,0.0005668934240362812
880,4,4,0,0.0022675736961451248
881,4,4,0,0.0022675736961451248
882,4,4,0,0.0022675736961451248
884,1,5,4,0.0005668934240362812
889,1,1,0,0.0005668934240362812
890,2,3,1,0.0011337868480725624
891,3,3,0,0.0017006802721088435
892,4,4,0,0.0022675736961451248
894,1,4,3,0.0005668934240362812
895,2,2,0,0.0011337868480725624
896,8,8,0,0.0045351473922902496
898,1,2,1,0.0005668934240362812
899,2,2,0,0.0011337868480725624
900,4,5,1,0.0022675736961451248
903,2,2,0,0.0011337868480725624
905,1,1,0,0.0005668934240362812
907,1,3,2,0.0005668934240362812
914,1,1,0,0.0005668934240362812
916,2,2,0,0.0011337868480725624
918,1,1,0,0.0005668934240362812
922,1,1,0,0.0005668934240362812
924,1,1,0,0.0005668934240362812
929,1,1,0,0.0005668934240362812
931,2,3,1,0.0011337868480725624
932,2,3,1,0.0011337868480725624
933,5,5,0,0.002834467120181406
934,2,2,0,0.0011337868480725624
937,3,16,13,0.0017006802721088435
938,1,1,0,0.0005668934240362812
939,3,3,0,0.0017006802721088435
944,1,1,0,0.0005668934240362812
945,2,2,0,0.0011337868480725624
946,3,6,3,0.0017006802721088435
947,3,3,0,0.0017006802721088435
948,2,2,0,0.0011337868480725624
951,1,3,2,0.0005668934240362812
952,2,3,1,0.0011337868480725624
953,3,4,1,0.0017006802721088435
956,3,8,5,0.0017006802721088435
957,3,3,0,0.0017006802721088435
960,2,2,0,0.0011337868480725624
961,2,2,0,0.0011337868480725624
964,2,2,0,0.0011337868480725624
965,2,2,0,0.0011337868480725624
970,1,1,0,0.0005668934240362812
971,1,1,0,0.0005668934240362812
972,1,1,0,0.0005668934240362812
973,1,2,1,0.0005668934240362812
975,3,4,1,0.0017006802721088435
977,5,5,0,0.002834467120181406
978,3,3,0,0.0017006802721088435
979,3,3,0,0.0017006802721088435
980,1,1,0,0.0005668934240362812
985,1,1,0,0.0005668934240362812
986,1,1,0,0.0005668934240362812
987,1,1,0,0.0005668934240362812
996,1,4,3,0.0005668934240362812
997,1,4,3,0.0005668934240362812
998,1,4,3,0.0005668934240362812
999,1,4,3,0.0005668934240362812
1000,1,1,0,0.0005668934240362812
1004,1,1,0,0.0005668934240362812
1005,3,3,0,0.0017006802721088435
1007,1,5,4,0.0005668934240362812
1011,2,2,0,0.0011337868480725624
1012,1,1,0,0.0005668934240362812
1014,1,2,1,0.0005668934240362812
1017,2,2,0,0.0011337868480725624
1018,3,4,1,0.0017006802721088435
1022,1,1,0,0.0005668934240362812
1023,1,1,0,0.0005668934240362812
1031,3,3,0,0.0017006802721088435
1032,2,2,0,0.0011337868480725624
1036,1,1,0,0.0005668934240362812
1037,1,2,1,0.0005668934240362812
1040,1,1,0,0.0005668934240362812
1041,1,4,3,0.0005668934240362812
1044,2,2,0,0.0011337868480725624
1047,2,2,0,0.0011337868480725624
1048,2,2,0,0.0011337868480725624
1049,2,2,0,0.0011337868480725624
1051,1,1,0,0.0005668934240362812
1052,3,6,3,0.0017006802721088435
1054,2,2,0,0.0011337868480725624
1055,4,4,0,0.0022675736961451248
1056,4,4,0,0.0022675736961451248
1057,1,1,0,0.0005668934240362812
1065,1,2,1,0.0005668934240362812
1066,3,3,0,0.0017006802721088435
1070,3,3,0,0.0017006802721088435
1073,2,6,4,0.0011337868480725624
1074,2,3,1,0.0011337868480725624
1075,1,1,0,0.0005668934240362812
1076,3,3,0,0.0017006802721088435
1082,1,1,0,0.0005668934240362812
1083,3,3,0,0.0017006802721088435
1084,4,4,0,0.0022675736961451248
1086,1,4,3,0.0005668934240362812
1087,2,3,1,0.0011337868480725624
1088,1,1,0,0.0005668934240362812
1094,1,1,0,0.0005668934240362812
1098,2,2,0,0.0011337868480725624
1104,3,3,0,0.0017006802721088435
1105,6,6,0,0.003401360544217687
1108,1,1,0,0.0005668934240362812
1109,1,2,1,0.0005668934240362812
1110,1,1,0,0.0005668934240362812
1111,1,1,0,0.0005668934240362812
1112,1,1,0,0.0005668934240362812
1114,1,1,0,0.0005668934240362812
1115,2,2,0,0.0011337868480725624
1118,2,4,2,0.0011337868480725624
1121,2,2,0,0.0011337868480725624
1124,1,2,1,0.0005668934240362812
1125,2,2,0,0.0011337868480725624
1127,1,1,0,0.0005668934240362812
1128,2,3,1,0.0011337868480725624
1132,1,1,0,0.0005668934240362812
1140,1,1,0,0.0005668934240362812
1143,1,1,0,0.0005668934240362812
1147,4,4,0,0.0022675736961451248
1149,4,4,0,0.0022675736961451248
1150,4,4,0,0.0022675736961451248
1153,1,1,0,0.0005668934240362812
1155,2,9,7,0.0011337868480725624
1157,1,2,1,0.0005668934240362812
1163,1,3,2,0.0005668934240362812
1168,3,3,0,0.0017006802721088435
1172,4,6,2,0.0022675736961451248
1175,1,1,0,0.0005668934240362812
1176,1,1,0,0.0005668934240362812
1177,1,2,1,0.0005668934240362812
1179,2,3,1,0.0011337868480725624
1180,1,2,1,0.0005668934240362812
1182,2,3,1,0.0011337868480725624
1183,1,1,0,0.0005668934240362812
1184,3,3,0,0.0017006802721088435
1187,3,3,0,0.0017006802721088435
1188,3,4,1,0.0017006802721088435
1189,2,4,2,0.0011337868480725624
1190,2,2,0,0.0011337868480725624
1191,2,2,0,0.0011337868480725624
1196,1,1,0,0.0005668934240362812
1197,3,3,0,0.0017006802721088435
1198,1,1,0,0.0005668934240362812
1199,2,3,1,0.0011337868480725624
1201,1,1,0,0.0005668934240362812
1203,1,3,2,0.0005668934240362812
1204,1,3,2,0.0005668934240362812
1205,1,1,0,0.0005668934240362812
1206,3,3,0,0.0017006802721088435
1207,3,3,0,0.0017006802721088435
1209,9,9,0,0.00510204081632653
1210,9,9,0,0.00510204081632653
1211,9,9,0,0.00510204081632653
1212,9,9,0,0.00510204081632653
1216,1,2,1,0.0005668934240362812
1226,3,3,0,0.0017006802721088435
1228,2,2,0,0.0011337868480725624
1229,2,2,0,0.0011337868480725624
1232,4,4,0,0.0022675736961451248
1234,1,1,0,0.0005668934240362812
1241,1,2,1,0.0005668934240362812
1242,1,2,1,0.0005668934240362812
1244,2,3,1,0.0011337868480725624
1245,1,3,2,0.0005668934240362812
