node,degree_x,degree_y,degree_increase,degree_prob_x
2,2,3,1,0.0002042483660130719
5,6,8,2,0.0006127450980392157
6,4,5,1,0.0004084967320261438
7,1,1,0,0.00010212418300653595
9,3,6,3,0.00030637254901960784
12,3,5,2,0.00030637254901960784
14,8,18,10,0.0008169934640522876
15,4,4,0,0.0004084967320261438
18,3,5,2,0.00030637254901960784
19,26,31,5,0.0026552287581699347
20,4,5,1,0.0004084967320261438
22,4,4,0,0.0004084967320261438
23,4,5,1,0.0004084967320261438
24,9,10,1,0.0009191176470588235
25,4,5,1,0.0004084967320261438
26,5,11,6,0.0005106209150326798
27,1,7,6,0.00010212418300653595
29,4,6,2,0.0004084967320261438
30,1,6,5,0.00010212418300653595
31,1,2,1,0.00010212418300653595
32,2,2,0,0.0002042483660130719
33,3,4,1,0.00030637254901960784
35,4,5,1,0.0004084967320261438
36,2,3,1,0.0002042483660130719
38,3,4,1,0.00030637254901960784
39,6,9,3,0.0006127450980392157
41,2,4,2,0.0002042483660130719
42,1,1,0,0.00010212418300653595
43,1,1,0,0.00010212418300653595
44,1,1,0,0.00010212418300653595
45,5,5,0,0.0005106209150326798
46,1,1,0,0.00010212418300653595
47,3,3,0,0.00030637254901960784
48,4,4,0,0.0004084967320261438
49,4,4,0,0.0004084967320261438
50,3,3,0,0.00030637254901960784
51,3,3,0,0.00030637254901960784
52,2,2,0,0.0002042483660130719
53,17,20,3,0.001736111111111111
54,4,4,0,0.0004084967320261438
60,5,13,8,0.0005106209150326798
61,4,6,2,0.0004084967320261438
64,3,4,1,0.00030637254901960784
65,4,4,0,0.0004084967320261438
66,4,4,0,0.0004084967320261438
67,4,6,2,0.0004084967320261438
68,4,4,0,0.0004084967320261438
69,4,4,0,0.0004084967320261438
70,4,4,0,0.0004084967320261438
71,3,3,0,0.00030637254901960784
72,11,11,0,0.0011233660130718953
73,4,4,0,0.0004084967320261438
74,4,4,0,0.0004084967320261438
75,12,12,0,0.0012254901960784314
76,3,3,0,0.00030637254901960784
77,3,3,0,0.00030637254901960784
78,3,3,0,0.00030637254901960784
79,1,1,0,0.00010212418300653595
80,2,2,0,0.0002042483660130719
81,1,1,0,0.00010212418300653595
82,3,3,0,0.00030637254901960784
83,1,1,0,0.00010212418300653595
85,7,7,0,0.0007148692810457516
86,8,8,0,0.0008169934640522876
87,8,8,0,0.0008169934640522876
92,2,2,0,0.0002042483660130719
93,2,2,0,0.0002042483660130719
94,2,5,3,0.0002042483660130719
95,1,1,0,0.00010212418300653595
96,5,6,1,0.0005106209150326798
97,1,1,0,0.00010212418300653595
98,2,2,0,0.0002042483660130719
99,2,2,0,0.0002042483660130719
100,2,2,0,0.0002042483660130719
101,8,10,2,0.0008169934640522876
102,3,3,0,0.00030637254901960784
103,4,4,0,0.0004084967320261438
104,2,2,0,0.0002042483660130719
107,1,1,0,0.00010212418300653595
108,3,3,0,0.00030637254901960784
109,6,6,0,0.0006127450980392157
110,1,1,0,0.00010212418300653595
111,2,2,0,0.0002042483660130719
112,10,15,5,0.0010212418300653595
113,1,1,0,0.00010212418300653595
114,2,2,0,0.0002042483660130719
115,2,3,1,0.0002042483660130719
116,1,1,0,0.00010212418300653595
117,1,2,1,0.00010212418300653595
118,5,5,0,0.0005106209150326798
119,5,5,0,0.0005106209150326798
120,5,5,0,0.0005106209150326798
121,4,4,0,0.0004084967320261438
122,2,2,0,0.0002042483660130719
123,1,1,0,0.00010212418300653595
124,1,1,0,0.00010212418300653595
125,2,2,0,0.0002042483660130719
126,2,2,0,0.0002042483660130719
127,4,4,0,0.0004084967320261438
128,4,4,0,0.0004084967320261438
129,13,13,0,0.0013276143790849674
130,2,2,0,0.0002042483660130719
131,2,2,0,0.0002042483660130719
132,2,2,0,0.0002042483660130719
133,4,4,0,0.0004084967320261438
134,5,5,0,0.0005106209150326798
135,2,2,0,0.0002042483660130719
136,8,8,0,0.0008169934640522876
137,3,3,0,0.00030637254901960784
138,1,1,0,0.00010212418300653595
139,3,3,0,0.00030637254901960784
140,1,1,0,0.00010212418300653595
141,3,4,1,0.00030637254901960784
148,1,1,0,0.00010212418300653595
149,1,1,0,0.00010212418300653595
150,4,4,0,0.0004084967320261438
151,1,1,0,0.00010212418300653595
152,5,5,0,0.0005106209150326798
153,4,4,0,0.0004084967320261438
154,1,1,0,0.00010212418300653595
155,3,3,0,0.00030637254901960784
156,4,4,0,0.0004084967320261438
157,1,2,1,0.00010212418300653595
158,1,1,0,0.00010212418300653595
165,5,11,6,0.0005106209150326798
166,1,1,0,0.00010212418300653595
167,4,4,0,0.0004084967320261438
168,2,2,0,0.0002042483660130719
169,3,3,0,0.00030637254901960784
172,1,1,0,0.00010212418300653595
176,17,23,6,0.001736111111111111
177,1,1,0,0.00010212418300653595
178,1,1,0,0.00010212418300653595
179,1,1,0,0.00010212418300653595
180,2,2,0,0.0002042483660130719
181,2,2,0,0.0002042483660130719
182,1,1,0,0.00010212418300653595
183,2,2,0,0.0002042483660130719
184,2,2,0,0.0002042483660130719
185,11,20,9,0.0011233660130718953
186,9,10,1,0.0009191176470588235
188,4,5,1,0.0004084967320261438
189,3,3,0,0.00030637254901960784
190,6,6,0,0.0006127450980392157
191,4,28,24,0.0004084967320261438
192,3,3,0,0.00030637254901960784
193,8,8,0,0.0008169934640522876
194,4,6,2,0.0004084967320261438
195,1,1,0,0.00010212418300653595
196,2,2,0,0.0002042483660130719
197,1,1,0,0.00010212418300653595
198,15,15,0,0.0015318627450980392
199,21,22,1,0.002144607843137255
200,11,11,0,0.0011233660130718953
201,2,2,0,0.0002042483660130719
202,2,2,0,0.0002042483660130719
203,2,2,0,0.0002042483660130719
204,10,11,1,0.0010212418300653595
205,1,5,4,0.00010212418300653595
206,4,7,3,0.0004084967320261438
207,3,9,6,0.00030637254901960784
208,4,4,0,0.0004084967320261438
210,7,14,7,0.0007148692810457516
213,10,13,3,0.0010212418300653595
214,1,1,0,0.00010212418300653595
215,3,4,1,0.00030637254901960784
217,4,4,0,0.0004084967320261438
218,7,7,0,0.0007148692810457516
219,7,7,0,0.0007148692810457516
220,7,7,0,0.0007148692810457516
221,2,2,0,0.0002042483660130719
222,16,16,0,0.0016339869281045752
223,5,5,0,0.0005106209150326798
224,5,5,0,0.0005106209150326798
225,3,3,0,0.00030637254901960784
226,16,22,6,0.0016339869281045752
227,11,11,0,0.0011233660130718953
228,1,1,0,0.00010212418300653595
229,11,11,0,0.0011233660130718953
230,1,2,1,0.00010212418300653595
231,4,4,0,0.0004084967320261438
232,4,4,0,0.0004084967320261438
233,18,18,0,0.001838235294117647
235,1,2,1,0.00010212418300653595
238,25,33,8,0.0025531045751633987
240,4,8,4,0.0004084967320261438
241,2,4,2,0.0002042483660130719
242,8,11,3,0.0008169934640522876
243,2,2,0,0.0002042483660130719
244,12,12,0,0.0012254901960784314
245,6,10,4,0.0006127450980392157
246,3,3,0,0.00030637254901960784
247,3,3,0,0.00030637254901960784
248,5,5,0,0.0005106209150326798
249,3,3,0,0.00030637254901960784
250,9,12,3,0.0009191176470588235
252,14,20,6,0.0014297385620915032
253,23,23,0,0.0023488562091503267
254,4,4,0,0.0004084967320261438
255,19,19,0,0.001940359477124183
258,5,7,2,0.0005106209150326798
259,5,7,2,0.0005106209150326798
260,8,8,0,0.0008169934640522876
261,8,13,5,0.0008169934640522876
262,8,24,16,0.0008169934640522876
263,2,2,0,0.0002042483660130719
264,21,22,1,0.002144607843137255
265,5,5,0,0.0005106209150326798
266,17,19,2,0.001736111111111111
267,1,9,8,0.00010212418300653595
268,3,7,4,0.00030637254901960784
273,9,11,2,0.0009191176470588235
274,2,3,1,0.0002042483660130719
275,5,5,0,0.0005106209150326798
276,2,3,1,0.0002042483660130719
277,5,5,0,0.0005106209150326798
278,5,6,1,0.0005106209150326798
280,3,7,4,0.00030637254901960784
281,3,7,4,0.00030637254901960784
283,1,2,1,0.00010212418300653595
284,5,7,2,0.0005106209150326798
285,1,1,0,0.00010212418300653595
286,5,5,0,0.0005106209150326798
290,1,1,0,0.00010212418300653595
296,10,23,13,0.0010212418300653595
297,9,14,5,0.0009191176470588235
298,3,12,9,0.00030637254901960784
302,12,26,14,0.0012254901960784314
303,6,6,0,0.0006127450980392157
304,2,2,0,0.0002042483660130719
305,7,7,0,0.0007148692810457516
308,24,33,9,0.0024509803921568627
309,9,17,8,0.0009191176470588235
311,1,1,0,0.00010212418300653595
313,10,12,2,0.0010212418300653595
317,2,2,0,0.0002042483660130719
318,5,5,0,0.0005106209150326798
319,7,15,8,0.0007148692810457516
321,1,1,0,0.00010212418300653595
323,2,6,4,0.0002042483660130719
324,4,10,6,0.0004084967320261438
326,4,14,10,0.0004084967320261438
327,1,6,5,0.00010212418300653595
328,2,9,7,0.0002042483660130719
329,20,25,5,0.002042483660130719
331,1,4,3,0.00010212418300653595
332,6,8,2,0.0006127450980392157
334,7,9,2,0.0007148692810457516
335,3,3,0,0.00030637254901960784
336,6,6,0,0.0006127450980392157
337,7,7,0,0.0007148692810457516
338,7,10,3,0.0007148692810457516
340,5,8,3,0.0005106209150326798
341,6,6,0,0.0006127450980392157
342,1,1,0,0.00010212418300653595
343,11,11,0,0.0011233660130718953
344,17,33,16,0.001736111111111111
345,1,9,8,0.00010212418300653595
349,15,28,13,0.0015318627450980392
350,17,28,11,0.001736111111111111
351,8,14,6,0.0008169934640522876
352,17,33,16,0.001736111111111111
354,5,11,6,0.0005106209150326798
356,1,1,0,0.00010212418300653595
357,1,1,0,0.00010212418300653595
358,17,28,11,0.001736111111111111
359,2,2,0,0.0002042483660130719
360,8,8,0,0.0008169934640522876
361,3,3,0,0.00030637254901960784
362,13,13,0,0.0013276143790849674
363,6,6,0,0.0006127450980392157
364,8,8,0,0.0008169934640522876
365,10,10,0,0.0010212418300653595
366,3,3,0,0.00030637254901960784
367,2,2,0,0.0002042483660130719
368,8,10,2,0.0008169934640522876
369,2,3,1,0.0002042483660130719
370,6,6,0,0.0006127450980392157
371,6,6,0,0.0006127450980392157
372,10,14,4,0.0010212418300653595
373,22,22,0,0.0022467320261437907
374,31,31,0,0.0031658496732026144
375,7,7,0,0.0007148692810457516
376,9,9,0,0.0009191176470588235
377,13,13,0,0.0013276143790849674
378,5,5,0,0.0005106209150326798
379,6,6,0,0.0006127450980392157
380,5,5,0,0.0005106209150326798
381,7,7,0,0.0007148692810457516
382,7,7,0,0.0007148692810457516
383,5,5,0,0.0005106209150326798
384,4,4,0,0.0004084967320261438
385,4,4,0,0.0004084967320261438
386,3,3,0,0.00030637254901960784
387,16,16,0,0.0016339869281045752
388,3,3,0,0.00030637254901960784
389,4,4,0,0.0004084967320261438
390,2,5,3,0.0002042483660130719
391,2,5,3,0.0002042483660130719
392,12,12,0,0.0012254901960784314
393,2,2,0,0.0002042483660130719
394,2,2,0,0.0002042483660130719
395,4,4,0,0.0004084967320261438
396,5,5,0,0.0005106209150326798
397,12,18,6,0.0012254901960784314
398,1,1,0,0.00010212418300653595
399,3,4,1,0.00030637254901960784
400,2,2,0,0.0002042483660130719
401,10,10,0,0.0010212418300653595
402,1,1,0,0.00010212418300653595
403,13,13,0,0.0013276143790849674
404,22,23,1,0.0022467320261437907
405,4,4,0,0.0004084967320261438
406,3,3,0,0.00030637254901960784
407,3,3,0,0.00030637254901960784
408,14,14,0,0.0014297385620915032
409,6,6,0,0.0006127450980392157
410,5,5,0,0.0005106209150326798
411,8,8,0,0.0008169934640522876
412,23,28,5,0.0023488562091503267
413,6,6,0,0.0006127450980392157
414,19,31,12,0.001940359477124183
415,4,4,0,0.0004084967320261438
416,1,1,0,0.00010212418300653595
417,2,2,0,0.0002042483660130719
418,1,1,0,0.00010212418300653595
419,1,1,0,0.00010212418300653595
420,5,5,0,0.0005106209150326798
421,6,9,3,0.0006127450980392157
422,1,1,0,0.00010212418300653595
423,5,5,0,0.0005106209150326798
424,3,4,1,0.00030637254901960784
425,3,4,1,0.00030637254901960784
426,3,4,1,0.00030637254901960784
427,9,10,1,0.0009191176470588235
428,5,5,0,0.0005106209150326798
429,14,14,0,0.0014297385620915032
430,2,2,0,0.0002042483660130719
431,8,9,1,0.0008169934640522876
432,9,9,0,0.0009191176470588235
433,22,28,6,0.0022467320261437907
434,1,1,0,0.00010212418300653595
435,2,2,0,0.0002042483660130719
436,2,2,0,0.0002042483660130719
437,5,5,0,0.0005106209150326798
438,2,2,0,0.0002042483660130719
439,5,5,0,0.0005106209150326798
440,19,19,0,0.001940359477124183
441,1,1,0,0.00010212418300653595
442,18,20,2,0.001838235294117647
443,12,12,0,0.0012254901960784314
444,5,5,0,0.0005106209150326798
445,2,2,0,0.0002042483660130719
446,11,14,3,0.0011233660130718953
447,4,4,0,0.0004084967320261438
448,6,6,0,0.0006127450980392157
449,2,2,0,0.0002042483660130719
450,3,3,0,0.00030637254901960784
451,2,2,0,0.0002042483660130719
452,2,2,0,0.0002042483660130719
453,9,9,0,0.0009191176470588235
454,9,9,0,0.0009191176470588235
455,1,1,0,0.00010212418300653595
456,5,5,0,0.0005106209150326798
457,1,1,0,0.00010212418300653595
458,3,3,0,0.00030637254901960784
459,9,13,4,0.0009191176470588235
460,19,19,0,0.001940359477124183
461,3,3,0,0.00030637254901960784
462,4,5,1,0.0004084967320261438
463,3,3,0,0.00030637254901960784
464,6,6,0,0.0006127450980392157
465,2,2,0,0.0002042483660130719
466,10,10,0,0.0010212418300653595
467,2,2,0,0.0002042483660130719
468,5,5,0,0.0005106209150326798
469,6,6,0,0.0006127450980392157
470,5,5,0,0.0005106209150326798
471,2,2,0,0.0002042483660130719
472,2,4,2,0.0002042483660130719
473,2,2,0,0.0002042483660130719
474,18,18,0,0.001838235294117647
475,2,2,0,0.0002042483660130719
476,10,10,0,0.0010212418300653595
477,5,5,0,0.0005106209150326798
478,29,35,6,0.0029616013071895424
479,10,10,0,0.0010212418300653595
481,29,31,2,0.0029616013071895424
482,4,4,0,0.0004084967320261438
483,4,4,0,0.0004084967320261438
484,4,4,0,0.0004084967320261438
485,4,4,0,0.0004084967320261438
486,3,3,0,0.00030637254901960784
487,5,5,0,0.0005106209150326798
488,2,2,0,0.0002042483660130719
490,10,10,0,0.0010212418300653595
491,3,3,0,0.00030637254901960784
492,18,18,0,0.001838235294117647
493,4,4,0,0.0004084967320261438
494,10,10,0,0.0010212418300653595
495,9,9,0,0.0009191176470588235
496,17,17,0,0.001736111111111111
497,1,1,0,0.00010212418300653595
498,12,15,3,0.0012254901960784314
499,16,16,0,0.0016339869281045752
500,15,15,0,0.0015318627450980392
501,5,5,0,0.0005106209150326798
502,5,5,0,0.0005106209150326798
503,37,44,7,0.00377859477124183
504,9,10,1,0.0009191176470588235
505,15,16,1,0.0015318627450980392
506,5,6,1,0.0005106209150326798
507,4,4,0,0.0004084967320261438
508,2,2,0,0.0002042483660130719
509,2,2,0,0.0002042483660130719
510,3,3,0,0.00030637254901960784
511,2,2,0,0.0002042483660130719
512,3,3,0,0.00030637254901960784
513,2,2,0,0.0002042483660130719
514,2,2,0,0.0002042483660130719
515,20,20,0,0.002042483660130719
516,5,5,0,0.0005106209150326798
517,8,8,0,0.0008169934640522876
518,11,11,0,0.0011233660130718953
519,1,1,0,0.00010212418300653595
520,14,16,2,0.0014297385620915032
521,6,7,1,0.0006127450980392157
522,10,10,0,0.0010212418300653595
523,10,10,0,0.0010212418300653595
524,10,10,0,0.0010212418300653595
525,13,13,0,0.0013276143790849674
526,10,10,0,0.0010212418300653595
527,10,10,0,0.0010212418300653595
528,10,10,0,0.0010212418300653595
529,14,14,0,0.0014297385620915032
530,10,10,0,0.0010212418300653595
531,10,10,0,0.0010212418300653595
532,15,15,0,0.0015318627450980392
533,1,1,0,0.00010212418300653595
534,2,2,0,0.0002042483660130719
535,2,2,0,0.0002042483660130719
536,6,6,0,0.0006127450980392157
537,3,3,0,0.00030637254901960784
538,2,2,0,0.0002042483660130719
539,1,1,0,0.00010212418300653595
540,2,2,0,0.0002042483660130719
541,24,29,5,0.0024509803921568627
542,6,6,0,0.0006127450980392157
543,4,6,2,0.0004084967320261438
544,1,1,0,0.00010212418300653595
545,3,3,0,0.00030637254901960784
546,3,3,0,0.00030637254901960784
547,4,6,2,0.0004084967320261438
548,3,3,0,0.00030637254901960784
549,3,3,0,0.00030637254901960784
550,5,5,0,0.0005106209150326798
551,2,2,0,0.0002042483660130719
552,1,1,0,0.00010212418300653595
553,10,11,1,0.0010212418300653595
554,9,9,0,0.0009191176470588235
555,9,9,0,0.0009191176470588235
556,1,1,0,0.00010212418300653595
557,2,2,0,0.0002042483660130719
558,2,2,0,0.0002042483660130719
559,16,19,3,0.0016339869281045752
560,3,3,0,0.00030637254901960784
561,16,16,0,0.0016339869281045752
562,8,8,0,0.0008169934640522876
563,2,2,0,0.0002042483660130719
564,8,8,0,0.0008169934640522876
565,2,2,0,0.0002042483660130719
566,3,3,0,0.00030637254901960784
567,3,3,0,0.00030637254901960784
568,6,6,0,0.0006127450980392157
569,10,12,2,0.0010212418300653595
571,3,3,0,0.00030637254901960784
572,7,8,1,0.0007148692810457516
573,13,13,0,0.0013276143790849674
574,11,11,0,0.0011233660130718953
576,1,1,0,0.00010212418300653595
577,1,1,0,0.00010212418300653595
578,1,1,0,0.00010212418300653595
580,3,9,6,0.00030637254901960784
582,4,9,5,0.0004084967320261438
584,1,1,0,0.00010212418300653595
586,1,5,4,0.00010212418300653595
589,11,15,4,0.0011233660130718953
590,1,6,5,0.00010212418300653595
592,50,54,4,0.0051062091503267975
596,18,18,0,0.001838235294117647
598,11,26,15,0.0011233660130718953
599,7,21,14,0.0007148692810457516
601,2,6,4,0.0002042483660130719
602,2,6,4,0.0002042483660130719
603,8,8,0,0.0008169934640522876
604,4,4,0,0.0004084967320261438
605,3,3,0,0.00030637254901960784
606,4,4,0,0.0004084967320261438
607,14,14,0,0.0014297385620915032
608,10,10,0,0.0010212418300653595
609,9,9,0,0.0009191176470588235
610,7,7,0,0.0007148692810457516
611,7,7,0,0.0007148692810457516
612,7,7,0,0.0007148692810457516
613,9,9,0,0.0009191176470588235
614,11,11,0,0.0011233660130718953
615,1,6,5,0.00010212418300653595
616,4,4,0,0.0004084967320261438
617,1,1,0,0.00010212418300653595
618,10,13,3,0.0010212418300653595
619,9,9,0,0.0009191176470588235
620,5,5,0,0.0005106209150326798
621,5,5,0,0.0005106209150326798
622,3,3,0,0.00030637254901960784
623,2,2,0,0.0002042483660130719
624,6,8,2,0.0006127450980392157
625,6,6,0,0.0006127450980392157
626,4,4,0,0.0004084967320261438
627,6,6,0,0.0006127450980392157
628,2,2,0,0.0002042483660130719
629,11,11,0,0.0011233660130718953
630,6,6,0,0.0006127450980392157
631,3,3,0,0.00030637254901960784
632,4,4,0,0.0004084967320261438
633,5,5,0,0.0005106209150326798
634,2,2,0,0.0002042483660130719
635,5,5,0,0.0005106209150326798
636,1,1,0,0.00010212418300653595
637,5,5,0,0.0005106209150326798
638,16,16,0,0.0016339869281045752
639,9,9,0,0.0009191176470588235
640,12,12,0,0.0012254901960784314
641,2,5,3,0.0002042483660130719
642,8,8,0,0.0008169934640522876
643,11,11,0,0.0011233660130718953
644,9,9,0,0.0009191176470588235
645,5,5,0,0.0005106209150326798
646,3,3,0,0.00030637254901960784
647,2,2,0,0.0002042483660130719
648,9,10,1,0.0009191176470588235
649,1,1,0,0.00010212418300653595
650,2,2,0,0.0002042483660130719
651,18,18,0,0.001838235294117647
652,5,8,3,0.0005106209150326798
653,8,8,0,0.0008169934640522876
654,14,14,0,0.0014297385620915032
655,8,8,0,0.0008169934640522876
656,13,13,0,0.0013276143790849674
657,7,7,0,0.0007148692810457516
658,9,9,0,0.0009191176470588235
659,26,26,0,0.0026552287581699347
660,2,2,0,0.0002042483660130719
661,2,2,0,0.0002042483660130719
662,3,3,0,0.00030637254901960784
663,4,4,0,0.0004084967320261438
664,3,3,0,0.00030637254901960784
665,4,4,0,0.0004084967320261438
666,3,3,0,0.00030637254901960784
667,5,5,0,0.0005106209150326798
668,5,5,0,0.0005106209150326798
669,5,5,0,0.0005106209150326798
