node,degree_x,degree_y,degree_increase,degree_prob_x
1,87,101,14,0.00883248730964467
2,96,101,5,0.009746192893401015
3,91,100,9,0.009238578680203046
4,100,101,1,0.01015228426395939
5,101,101,0,0.010253807106598985
6,98,101,3,0.009949238578680204
7,91,98,7,0.009238578680203046
8,101,101,0,0.010253807106598985
9,100,101,1,0.01015228426395939
10,86,93,7,0.008730964467005076
11,99,101,2,0.010050761421319797
12,97,101,4,0.009847715736040609
13,98,101,3,0.009949238578680204
14,101,101,0,0.010253807106598985
15,100,101,1,0.01015228426395939
16,85,95,10,0.008629441624365483
17,93,101,8,0.009441624365482234
18,100,101,1,0.01015228426395939
19,101,101,0,0.010253807106598985
20,95,100,5,0.009644670050761422
21,77,89,12,0.007817258883248732
22,98,99,1,0.009949238578680204
23,101,101,0,0.010253807106598985
24,101,101,0,0.010253807106598985
25,94,100,6,0.009543147208121827
26,97,101,4,0.009847715736040609
27,100,101,1,0.01015228426395939
28,98,101,3,0.009949238578680204
29,95,98,3,0.009644670050761422
30,101,101,0,0.010253807106598985
31,101,101,0,0.010253807106598985
32,100,101,1,0.01015228426395939
33,83,89,6,0.008426395939086295
34,100,101,1,0.01015228426395939
35,100,101,1,0.01015228426395939
36,88,99,11,0.008934010152284264
37,101,101,0,0.010253807106598985
38,101,101,0,0.010253807106598985
39,101,101,0,0.010253807106598985
40,100,100,0,0.01015228426395939
41,98,101,3,0.009949238578680204
42,98,101,3,0.009949238578680204
43,101,101,0,0.010253807106598985
44,101,101,0,0.010253807106598985
45,99,101,2,0.010050761421319797
46,94,98,4,0.009543147208121827
47,97,98,1,0.009847715736040609
48,92,99,7,0.009340101522842639
49,98,101,3,0.009949238578680204
50,93,101,8,0.009441624365482234
51,100,101,1,0.01015228426395939
52,98,101,3,0.009949238578680204
53,97,101,4,0.009847715736040609
54,98,101,3,0.009949238578680204
55,99,101,2,0.010050761421319797
56,62,84,22,0.006294416243654823
57,99,101,2,0.010050761421319797
58,101,101,0,0.010253807106598985
59,99,100,1,0.010050761421319797
60,101,101,0,0.010253807106598985
61,93,99,6,0.009441624365482234
62,101,101,0,0.010253807106598985
63,99,101,2,0.010050761421319797
64,97,101,4,0.009847715736040609
65,101,101,0,0.010253807106598985
66,98,101,3,0.009949238578680204
67,100,100,0,0.01015228426395939
68,99,101,2,0.010050761421319797
69,98,101,3,0.009949238578680204
70,97,100,3,0.009847715736040609
71,93,98,5,0.009441624365482234
72,100,101,1,0.01015228426395939
73,100,100,0,0.01015228426395939
74,91,98,7,0.009238578680203046
75,96,100,4,0.009746192893401015
76,96,100,4,0.009746192893401015
77,100,101,1,0.01015228426395939
78,97,101,4,0.009847715736040609
79,95,98,3,0.009644670050761422
80,86,97,11,0.008730964467005076
81,92,97,5,0.009340101522842639
82,98,101,3,0.009949238578680204
83,99,99,0,0.010050761421319797
84,92,101,9,0.009340101522842639
85,94,101,7,0.009543147208121827
86,101,101,0,0.010253807106598985
87,100,101,1,0.01015228426395939
88,97,99,2,0.009847715736040609
89,92,98,6,0.009340101522842639
90,101,101,0,0.010253807106598985
91,100,101,1,0.01015228426395939
92,94,98,4,0.009543147208121827
93,95,101,6,0.009644670050761422
94,94,98,4,0.009543147208121827
95,98,101,3,0.009949238578680204
96,100,101,1,0.01015228426395939
97,92,100,8,0.009340101522842639
98,98,101,3,0.009949238578680204
99,101,101,0,0.010253807106598985
100,98,101,3,0.009949238578680204
101,101,101,0,0.010253807106598985
102,94,97,3,0.009543147208121827
