node,degree_x,degree_y,degree_increase,degree_prob_x
1,89,101,12,0.009035532994923857
2,90,101,11,0.009137055837563452
3,86,100,14,0.008730964467005076
4,90,101,11,0.009137055837563452
5,92,101,9,0.009340101522842639
6,96,101,5,0.009746192893401015
7,95,98,3,0.009644670050761422
8,98,101,3,0.009949238578680204
9,98,101,3,0.009949238578680204
10,84,93,9,0.008527918781725888
11,101,101,0,0.010253807106598985
12,101,101,0,0.010253807106598985
13,101,101,0,0.010253807106598985
14,101,101,0,0.010253807106598985
15,101,101,0,0.010253807106598985
16,95,95,0,0.009644670050761422
17,101,101,0,0.010253807106598985
18,101,101,0,0.010253807106598985
19,101,101,0,0.010253807106598985
20,100,100,0,0.01015228426395939
21,88,89,1,0.008934010152284264
22,99,99,0,0.010050761421319797
23,101,101,0,0.010253807106598985
24,101,101,0,0.010253807106598985
25,100,100,0,0.01015228426395939
26,101,101,0,0.010253807106598985
27,101,101,0,0.010253807106598985
28,101,101,0,0.010253807106598985
29,98,98,0,0.009949238578680204
30,101,101,0,0.010253807106598985
31,101,101,0,0.010253807106598985
32,101,101,0,0.010253807106598985
33,89,89,0,0.009035532994923857
34,100,101,1,0.01015228426395939
35,98,101,3,0.009949238578680204
36,94,99,5,0.009543147208121827
37,95,101,6,0.009644670050761422
38,94,101,7,0.009543147208121827
39,95,101,6,0.009644670050761422
40,97,100,3,0.009847715736040609
41,97,101,4,0.009847715736040609
42,97,101,4,0.009847715736040609
43,96,101,5,0.009746192893401015
44,97,101,4,0.009847715736040609
45,99,101,2,0.010050761421319797
46,98,98,0,0.009949238578680204
47,98,98,0,0.009949238578680204
48,99,99,0,0.010050761421319797
49,99,101,2,0.010050761421319797
50,99,101,2,0.010050761421319797
51,101,101,0,0.010253807106598985
52,96,101,5,0.009746192893401015
53,97,101,4,0.009847715736040609
54,97,101,4,0.009847715736040609
55,98,101,3,0.009949238578680204
56,76,84,8,0.007715736040609137
57,99,101,2,0.010050761421319797
58,101,101,0,0.010253807106598985
59,100,100,0,0.01015228426395939
60,101,101,0,0.010253807106598985
61,97,99,2,0.009847715736040609
62,99,101,2,0.010050761421319797
63,93,101,8,0.009441624365482234
64,93,101,8,0.009441624365482234
65,101,101,0,0.010253807106598985
66,101,101,0,0.010253807106598985
67,100,100,0,0.01015228426395939
68,101,101,0,0.010253807106598985
69,101,101,0,0.010253807106598985
70,100,100,0,0.01015228426395939
71,98,98,0,0.009949238578680204
72,101,101,0,0.010253807106598985
73,100,100,0,0.01015228426395939
74,98,98,0,0.009949238578680204
75,100,100,0,0.01015228426395939
76,100,100,0,0.01015228426395939
77,101,101,0,0.010253807106598985
78,101,101,0,0.010253807106598985
79,98,98,0,0.009949238578680204
80,97,97,0,0.009847715736040609
81,97,97,0,0.009847715736040609
82,86,101,15,0.008730964467005076
83,77,99,22,0.007817258883248732
84,90,101,11,0.009137055837563452
85,81,101,20,0.008223350253807106
86,89,101,12,0.009035532994923857
87,95,101,6,0.009644670050761422
88,89,99,10,0.009035532994923857
89,88,98,10,0.008934010152284264
90,91,101,10,0.009238578680203046
91,94,101,7,0.009543147208121827
92,88,98,10,0.008934010152284264
93,96,101,5,0.009746192893401015
94,90,98,8,0.009137055837563452
95,100,101,1,0.01015228426395939
96,99,101,2,0.010050761421319797
97,99,100,1,0.010050761421319797
98,100,101,1,0.01015228426395939
99,101,101,0,0.010253807106598985
100,101,101,0,0.010253807106598985
101,101,101,0,0.010253807106598985
102,97,97,0,0.009847715736040609
