node,degree_x,degree_y,degree_increase,degree_prob_x
1,3,3,0,0.006521739130434782
2,2,2,0,0.004347826086956522
3,3,4,1,0.006521739130434782
4,3,3,0,0.006521739130434782
5,13,16,3,0.02826086956521739
6,16,21,5,0.034782608695652174
7,4,16,12,0.008695652173913044
8,4,10,6,0.008695652173913044
12,2,5,3,0.004347826086956522
13,2,5,3,0.004347826086956522
15,1,7,6,0.002173913043478261
16,4,4,0,0.008695652173913044
17,15,16,1,0.03260869565217391
18,3,4,1,0.006521739130434782
19,3,3,0,0.006521739130434782
20,3,4,1,0.006521739130434782
23,1,1,0,0.002173913043478261
24,12,12,0,0.02608695652173913
26,2,7,5,0.004347826086956522
29,26,26,0,0.05652173913043478
30,1,6,5,0.002173913043478261
31,2,2,0,0.004347826086956522
32,2,2,0,0.004347826086956522
33,2,2,0,0.004347826086956522
34,3,3,0,0.006521739130434782
35,4,6,2,0.008695652173913044
37,4,4,0,0.008695652173913044
38,2,2,0,0.004347826086956522
40,5,5,0,0.010869565217391304
41,1,1,0,0.002173913043478261
42,4,4,0,0.008695652173913044
43,2,2,0,0.004347826086956522
44,6,6,0,0.013043478260869565
45,7,7,0,0.015217391304347827
46,5,6,1,0.010869565217391304
47,19,30,11,0.041304347826086954
50,6,6,0,0.013043478260869565
51,1,1,0,0.002173913043478261
52,5,7,2,0.010869565217391304
53,4,4,0,0.008695652173913044
54,3,3,0,0.006521739130434782
55,4,5,1,0.008695652173913044
56,2,4,2,0.004347826086956522
57,1,9,8,0.002173913043478261
58,1,4,3,0.002173913043478261
59,4,4,0,0.008695652173913044
60,1,1,0,0.002173913043478261
61,3,4,1,0.006521739130434782
62,5,6,1,0.010869565217391304
63,1,3,2,0.002173913043478261
64,4,4,0,0.008695652173913044
65,6,6,0,0.013043478260869565
67,2,2,0,0.004347826086956522
70,3,7,4,0.006521739130434782
71,5,8,3,0.010869565217391304
77,2,2,0,0.004347826086956522
78,2,2,0,0.004347826086956522
82,5,6,1,0.010869565217391304
83,1,2,1,0.002173913043478261
85,1,1,0,0.002173913043478261
86,2,2,0,0.004347826086956522
87,5,5,0,0.010869565217391304
88,1,2,1,0.002173913043478261
89,2,3,1,0.004347826086956522
91,1,7,6,0.002173913043478261
94,4,8,4,0.008695652173913044
98,1,1,0,0.002173913043478261
99,1,3,2,0.002173913043478261
100,4,4,0,0.008695652173913044
104,3,7,4,0.006521739130434782
105,2,3,1,0.004347826086956522
108,5,5,0,0.010869565217391304
109,4,4,0,0.008695652173913044
110,1,2,1,0.002173913043478261
111,3,7,4,0.006521739130434782
112,2,2,0,0.004347826086956522
115,1,3,2,0.002173913043478261
116,2,2,0,0.004347826086956522
117,3,4,1,0.006521739130434782
119,6,6,0,0.013043478260869565
122,2,5,3,0.004347826086956522
123,2,5,3,0.004347826086956522
124,4,5,1,0.008695652173913044
125,3,3,0,0.006521739130434782
126,3,4,1,0.006521739130434782
128,4,4,0,0.008695652173913044
129,4,4,0,0.008695652173913044
131,2,5,3,0.004347826086956522
132,1,3,2,0.002173913043478261
133,1,2,1,0.002173913043478261
134,4,4,0,0.008695652173913044
135,4,4,0,0.008695652173913044
136,4,4,0,0.008695652173913044
138,2,4,2,0.004347826086956522
139,1,2,1,0.002173913043478261
142,1,1,0,0.002173913043478261
143,1,5,4,0.002173913043478261
145,1,3,2,0.002173913043478261
146,3,3,0,0.006521739130434782
147,1,1,0,0.002173913043478261
148,2,2,0,0.004347826086956522
149,3,5,2,0.006521739130434782
150,2,3,1,0.004347826086956522
151,2,2,0,0.004347826086956522
153,5,5,0,0.010869565217391304
154,1,1,0,0.002173913043478261
155,2,2,0,0.004347826086956522
156,2,2,0,0.004347826086956522
157,7,7,0,0.015217391304347827
162,2,2,0,0.004347826086956522
164,3,3,0,0.006521739130434782
165,3,3,0,0.006521739130434782
166,1,1,0,0.002173913043478261
167,5,5,0,0.010869565217391304
174,1,1,0,0.002173913043478261
178,2,2,0,0.004347826086956522
179,1,2,1,0.002173913043478261
184,7,7,0,0.015217391304347827
187,1,1,0,0.002173913043478261
188,1,5,4,0.002173913043478261
189,1,1,0,0.002173913043478261
190,1,1,0,0.002173913043478261
191,3,3,0,0.006521739130434782
194,5,5,0,0.010869565217391304
196,1,1,0,0.002173913043478261
197,2,2,0,0.004347826086956522
198,4,4,0,0.008695652173913044
199,2,2,0,0.004347826086956522
200,3,3,0,0.006521739130434782
201,2,2,0,0.004347826086956522
209,2,2,0,0.004347826086956522
211,2,2,0,0.004347826086956522
213,3,3,0,0.006521739130434782
214,3,3,0,0.006521739130434782
218,2,2,0,0.004347826086956522
219,2,2,0,0.004347826086956522
220,1,2,1,0.002173913043478261
223,1,2,1,0.002173913043478261
224,1,3,2,0.002173913043478261
225,2,2,0,0.004347826086956522
