node,degree_x,degree_y,degree_increase,degree_prob_x
8,4,16,12,0.004008016032064128
11,13,33,20,0.013026052104208416
15,8,17,9,0.008016032064128256
20,1,10,9,0.001002004008016032
21,5,5,0,0.00501002004008016
27,2,4,2,0.002004008016032064
30,9,33,24,0.009018036072144289
33,1,4,3,0.001002004008016032
43,7,8,1,0.0070140280561122245
47,2,3,1,0.002004008016032064
50,12,29,17,0.012024048096192385
52,4,13,9,0.004008016032064128
54,3,11,8,0.003006012024048096
67,1,9,8,0.001002004008016032
74,2,5,3,0.002004008016032064
84,1,8,7,0.001002004008016032
87,3,6,3,0.003006012024048096
105,1,1,0,0.001002004008016032
113,2,2,0,0.002004008016032064
117,2,8,6,0.002004008016032064
121,5,8,3,0.00501002004008016
123,1,4,3,0.001002004008016032
135,1,4,3,0.001002004008016032
139,2,9,7,0.002004008016032064
148,1,2,1,0.001002004008016032
149,1,4,3,0.001002004008016032
155,1,8,7,0.001002004008016032
159,8,14,6,0.008016032064128256
164,7,12,5,0.0070140280561122245
165,4,7,3,0.004008016032064128
171,3,11,8,0.003006012024048096
172,1,5,4,0.001002004008016032
173,1,4,3,0.001002004008016032
175,5,22,17,0.00501002004008016
187,1,8,7,0.001002004008016032
189,1,3,2,0.001002004008016032
190,6,16,10,0.006012024048096192
195,3,16,13,0.003006012024048096
201,2,5,3,0.002004008016032064
205,5,6,1,0.00501002004008016
206,2,5,3,0.002004008016032064
212,7,21,14,0.0070140280561122245
213,10,13,3,0.01002004008016032
222,1,3,2,0.001002004008016032
225,1,7,6,0.001002004008016032
231,2,2,0,0.002004008016032064
232,3,5,2,0.003006012024048096
235,2,5,3,0.002004008016032064
238,7,8,1,0.0070140280561122245
239,2,16,14,0.002004008016032064
240,4,5,1,0.004008016032064128
244,1,1,0,0.001002004008016032
246,2,8,6,0.002004008016032064
247,5,13,8,0.00501002004008016
248,2,5,3,0.002004008016032064
251,3,3,0,0.003006012024048096
252,1,1,0,0.001002004008016032
254,11,17,6,0.011022044088176353
259,1,8,7,0.001002004008016032
262,3,12,9,0.003006012024048096
263,1,2,1,0.001002004008016032
270,2,12,10,0.002004008016032064
286,2,5,3,0.002004008016032064
290,1,2,1,0.001002004008016032
291,2,6,4,0.002004008016032064
296,3,8,5,0.003006012024048096
313,2,7,5,0.002004008016032064
322,3,4,1,0.003006012024048096
326,2,7,5,0.002004008016032064
331,3,5,2,0.003006012024048096
332,5,6,1,0.00501002004008016
338,5,10,5,0.00501002004008016
340,1,3,2,0.001002004008016032
341,9,14,5,0.009018036072144289
349,1,10,9,0.001002004008016032
350,1,4,3,0.001002004008016032
359,1,1,0,0.001002004008016032
363,1,3,2,0.001002004008016032
365,2,6,4,0.002004008016032064
376,5,5,0,0.00501002004008016
377,4,6,2,0.004008016032064128
386,1,1,0,0.001002004008016032
392,3,6,3,0.003006012024048096
394,1,1,0,0.001002004008016032
397,1,1,0,0.001002004008016032
403,1,1,0,0.001002004008016032
404,1,3,2,0.001002004008016032
407,5,10,5,0.00501002004008016
411,2,3,1,0.002004008016032064
420,2,4,2,0.002004008016032064
422,1,2,1,0.001002004008016032
428,2,4,2,0.002004008016032064
430,3,7,4,0.003006012024048096
432,2,3,1,0.002004008016032064
436,6,6,0,0.006012024048096192
441,3,5,2,0.003006012024048096
442,1,1,0,0.001002004008016032
445,6,11,5,0.006012024048096192
446,3,9,6,0.003006012024048096
455,5,6,1,0.00501002004008016
457,2,5,3,0.002004008016032064
461,1,4,3,0.001002004008016032
468,3,4,1,0.003006012024048096
469,4,4,0,0.004008016032064128
470,1,2,1,0.001002004008016032
474,6,10,4,0.006012024048096192
475,1,5,4,0.001002004008016032
477,2,4,2,0.002004008016032064
482,1,4,3,0.001002004008016032
483,2,3,1,0.002004008016032064
484,2,2,0,0.002004008016032064
499,3,8,5,0.003006012024048096
500,2,4,2,0.002004008016032064
503,5,6,1,0.00501002004008016
504,5,6,1,0.00501002004008016
512,3,6,3,0.003006012024048096
519,3,7,4,0.003006012024048096
525,2,5,3,0.002004008016032064
530,1,2,1,0.001002004008016032
531,6,7,1,0.006012024048096192
536,1,2,1,0.001002004008016032
543,3,8,5,0.003006012024048096
548,2,4,2,0.002004008016032064
553,4,6,2,0.004008016032064128
557,5,6,1,0.00501002004008016
558,3,3,0,0.003006012024048096
562,1,2,1,0.001002004008016032
566,2,3,1,0.002004008016032064
567,2,3,1,0.002004008016032064
569,1,2,1,0.001002004008016032
570,3,3,0,0.003006012024048096
571,4,12,8,0.004008016032064128
572,2,2,0,0.002004008016032064
574,2,3,1,0.002004008016032064
578,1,2,1,0.001002004008016032
579,1,1,0,0.001002004008016032
581,1,4,3,0.001002004008016032
583,1,2,1,0.001002004008016032
587,1,1,0,0.001002004008016032
588,3,5,2,0.003006012024048096
590,1,2,1,0.001002004008016032
594,2,5,3,0.002004008016032064
597,1,2,1,0.001002004008016032
598,3,9,6,0.003006012024048096
607,2,3,1,0.002004008016032064
608,4,4,0,0.004008016032064128
609,3,4,1,0.003006012024048096
610,3,3,0,0.003006012024048096
611,1,3,2,0.001002004008016032
612,2,2,0,0.002004008016032064
622,2,3,1,0.002004008016032064
628,2,2,0,0.002004008016032064
632,3,7,4,0.003006012024048096
640,1,3,2,0.001002004008016032
646,3,7,4,0.003006012024048096
647,5,5,0,0.00501002004008016
653,2,5,3,0.002004008016032064
654,5,10,5,0.00501002004008016
657,1,1,0,0.001002004008016032
658,3,3,0,0.003006012024048096
659,4,4,0,0.004008016032064128
661,1,1,0,0.001002004008016032
668,2,5,3,0.002004008016032064
676,1,1,0,0.001002004008016032
678,1,3,2,0.001002004008016032
683,2,2,0,0.002004008016032064
691,2,4,2,0.002004008016032064
692,11,14,3,0.011022044088176353
693,1,1,0,0.001002004008016032
694,2,2,0,0.002004008016032064
695,1,1,0,0.001002004008016032
698,1,1,0,0.001002004008016032
704,2,4,2,0.002004008016032064
705,1,1,0,0.001002004008016032
712,1,1,0,0.001002004008016032
713,2,2,0,0.002004008016032064
714,3,3,0,0.003006012024048096
717,2,5,3,0.002004008016032064
719,1,1,0,0.001002004008016032
720,1,1,0,0.001002004008016032
721,6,6,0,0.006012024048096192
722,2,2,0,0.002004008016032064
723,3,3,0,0.003006012024048096
726,4,6,2,0.004008016032064128
727,1,1,0,0.001002004008016032
733,1,2,1,0.001002004008016032
734,1,1,0,0.001002004008016032
735,1,3,2,0.001002004008016032
736,2,2,0,0.002004008016032064
737,1,1,0,0.001002004008016032
738,4,4,0,0.004008016032064128
739,4,4,0,0.004008016032064128
740,1,1,0,0.001002004008016032
741,3,3,0,0.003006012024048096
742,4,4,0,0.004008016032064128
743,2,2,0,0.002004008016032064
744,1,1,0,0.001002004008016032
745,4,4,0,0.004008016032064128
746,5,5,0,0.00501002004008016
747,1,1,0,0.001002004008016032
748,2,2,0,0.002004008016032064
749,2,2,0,0.002004008016032064
750,1,12,11,0.001002004008016032
751,1,12,11,0.001002004008016032
752,2,2,0,0.002004008016032064
753,1,1,0,0.001002004008016032
754,2,2,0,0.002004008016032064
755,1,1,0,0.001002004008016032
756,2,2,0,0.002004008016032064
757,1,1,0,0.001002004008016032
758,1,1,0,0.001002004008016032
759,2,2,0,0.002004008016032064
760,2,2,0,0.002004008016032064
761,1,1,0,0.001002004008016032
762,4,4,0,0.004008016032064128
763,5,5,0,0.00501002004008016
764,2,2,0,0.002004008016032064
767,1,3,2,0.001002004008016032
770,3,3,0,0.003006012024048096
771,7,8,1,0.0070140280561122245
772,5,5,0,0.00501002004008016
773,2,2,0,0.002004008016032064
774,1,2,1,0.001002004008016032
776,1,1,0,0.001002004008016032
777,1,2,1,0.001002004008016032
778,3,3,0,0.003006012024048096
779,2,2,0,0.002004008016032064
780,2,3,1,0.002004008016032064
781,2,2,0,0.002004008016032064
782,2,4,2,0.002004008016032064
783,5,5,0,0.00501002004008016
784,1,1,0,0.001002004008016032
785,2,2,0,0.002004008016032064
786,2,2,0,0.002004008016032064
787,2,2,0,0.002004008016032064
788,3,3,0,0.003006012024048096
789,3,3,0,0.003006012024048096
791,3,3,0,0.003006012024048096
792,5,6,1,0.00501002004008016
793,2,2,0,0.002004008016032064
794,2,2,0,0.002004008016032064
795,1,1,0,0.001002004008016032
796,1,1,0,0.001002004008016032
797,1,1,0,0.001002004008016032
798,2,2,0,0.002004008016032064
799,2,2,0,0.002004008016032064
800,1,1,0,0.001002004008016032
803,2,2,0,0.002004008016032064
804,1,3,2,0.001002004008016032
805,3,8,5,0.003006012024048096
807,2,4,2,0.002004008016032064
809,1,2,1,0.001002004008016032
811,1,9,8,0.001002004008016032
814,2,6,4,0.002004008016032064
818,1,2,1,0.001002004008016032
821,1,3,2,0.001002004008016032
826,2,3,1,0.002004008016032064
827,3,3,0,0.003006012024048096
828,6,8,2,0.006012024048096192
830,3,3,0,0.003006012024048096
831,4,6,2,0.004008016032064128
832,5,5,0,0.00501002004008016
833,5,5,0,0.00501002004008016
834,6,7,1,0.006012024048096192
835,5,5,0,0.00501002004008016
837,4,7,3,0.004008016032064128
838,4,4,0,0.004008016032064128
839,7,7,0,0.0070140280561122245
840,7,7,0,0.0070140280561122245
841,4,4,0,0.004008016032064128
843,1,1,0,0.001002004008016032
844,1,1,0,0.001002004008016032
848,1,1,0,0.001002004008016032
849,1,1,0,0.001002004008016032
850,2,2,0,0.002004008016032064
851,3,3,0,0.003006012024048096
852,3,3,0,0.003006012024048096
853,3,3,0,0.003006012024048096
854,2,2,0,0.002004008016032064
855,2,2,0,0.002004008016032064
856,1,1,0,0.001002004008016032
869,1,1,0,0.001002004008016032
870,1,1,0,0.001002004008016032
871,3,3,0,0.003006012024048096
872,1,1,0,0.001002004008016032
873,9,13,4,0.009018036072144289
877,2,2,0,0.002004008016032064
880,3,3,0,0.003006012024048096
881,3,6,3,0.003006012024048096
882,3,3,0,0.003006012024048096
887,1,3,2,0.001002004008016032
888,5,8,3,0.00501002004008016
889,1,1,0,0.001002004008016032
890,1,1,0,0.001002004008016032
891,9,9,0,0.009018036072144289
892,4,4,0,0.004008016032064128
894,5,5,0,0.00501002004008016
895,5,5,0,0.00501002004008016
896,5,5,0,0.00501002004008016
897,4,4,0,0.004008016032064128
900,1,3,2,0.001002004008016032
908,2,4,2,0.002004008016032064
911,1,7,6,0.001002004008016032
918,1,1,0,0.001002004008016032
919,2,2,0,0.002004008016032064
920,5,5,0,0.00501002004008016
921,2,2,0,0.002004008016032064
922,2,2,0,0.002004008016032064
923,1,1,0,0.001002004008016032
927,1,1,0,0.001002004008016032
928,3,5,2,0.003006012024048096
929,1,1,0,0.001002004008016032
930,7,7,0,0.0070140280561122245
931,1,1,0,0.001002004008016032
932,1,1,0,0.001002004008016032
933,9,11,2,0.009018036072144289
938,2,2,0,0.002004008016032064
939,2,2,0,0.002004008016032064
940,3,3,0,0.003006012024048096
941,2,2,0,0.002004008016032064
943,1,1,0,0.001002004008016032
944,1,1,0,0.001002004008016032
945,2,2,0,0.002004008016032064
946,2,2,0,0.002004008016032064
947,2,2,0,0.002004008016032064
950,1,1,0,0.001002004008016032
951,1,1,0,0.001002004008016032
952,3,3,0,0.003006012024048096
953,1,1,0,0.001002004008016032
954,3,3,0,0.003006012024048096
955,3,3,0,0.003006012024048096
956,3,3,0,0.003006012024048096
958,2,5,3,0.002004008016032064
962,1,1,0,0.001002004008016032
963,1,1,0,0.001002004008016032
964,1,2,1,0.001002004008016032
965,1,3,2,0.001002004008016032
966,2,2,0,0.002004008016032064
967,2,4,2,0.002004008016032064
968,2,2,0,0.002004008016032064
969,1,1,0,0.001002004008016032
970,3,3,0,0.003006012024048096
971,4,4,0,0.004008016032064128
972,3,5,2,0.003006012024048096
973,2,2,0,0.002004008016032064
975,1,1,0,0.001002004008016032
979,4,4,0,0.004008016032064128
982,3,6,3,0.003006012024048096
991,2,2,0,0.002004008016032064
992,1,1,0,0.001002004008016032
993,2,2,0,0.002004008016032064
994,4,4,0,0.004008016032064128
995,2,2,0,0.002004008016032064
996,3,3,0,0.003006012024048096
997,1,1,0,0.001002004008016032
998,1,1,0,0.001002004008016032
999,2,4,2,0.002004008016032064
1000,1,1,0,0.001002004008016032
1002,3,3,0,0.003006012024048096
1004,1,1,0,0.001002004008016032
1008,1,1,0,0.001002004008016032
1028,2,4,2,0.002004008016032064
1048,2,4,2,0.002004008016032064
1069,2,2,0,0.002004008016032064
1071,2,2,0,0.002004008016032064
1072,2,2,0,0.002004008016032064
1073,1,1,0,0.001002004008016032
1074,1,1,0,0.001002004008016032
1075,1,1,0,0.001002004008016032
1076,1,1,0,0.001002004008016032
1077,1,1,0,0.001002004008016032
1078,2,2,0,0.002004008016032064
1079,1,1,0,0.001002004008016032
1080,2,2,0,0.002004008016032064
1081,3,3,0,0.003006012024048096
1092,1,1,0,0.001002004008016032
1096,2,2,0,0.002004008016032064
1097,1,1,0,0.001002004008016032
1098,1,1,0,0.001002004008016032
1099,2,2,0,0.002004008016032064
1100,1,1,0,0.001002004008016032
1101,1,1,0,0.001002004008016032
1102,1,1,0,0.001002004008016032
1103,1,1,0,0.001002004008016032
1107,1,1,0,0.001002004008016032
1108,2,2,0,0.002004008016032064
1109,2,2,0,0.002004008016032064
1110,2,2,0,0.002004008016032064
1111,1,1,0,0.001002004008016032
1112,1,1,0,0.001002004008016032
1113,2,2,0,0.002004008016032064
