node,degree_x,degree_y,degree_increase,degree_prob_x
3,2,2,0,0.017241379310344827
4,2,2,0,0.017241379310344827
5,8,17,9,0.06896551724137931
6,2,8,6,0.017241379310344827
7,3,5,2,0.02586206896551724
8,4,4,0,0.034482758620689655
16,2,2,0,0.017241379310344827
17,3,3,0,0.02586206896551724
18,1,1,0,0.008620689655172414
20,9,10,1,0.07758620689655173
24,1,8,7,0.008620689655172414
25,2,4,2,0.017241379310344827
27,1,1,0,0.008620689655172414
34,1,6,5,0.008620689655172414
43,1,1,0,0.008620689655172414
44,2,12,10,0.017241379310344827
45,5,6,1,0.04310344827586207
46,1,1,0,0.008620689655172414
47,1,1,0,0.008620689655172414
48,1,2,1,0.008620689655172414
49,1,2,1,0.008620689655172414
54,1,3,2,0.008620689655172414
57,2,3,1,0.017241379310344827
59,1,2,1,0.008620689655172414
60,2,2,0,0.017241379310344827
63,1,3,2,0.008620689655172414
64,1,3,2,0.008620689655172414
65,4,10,6,0.034482758620689655
71,1,1,0,0.008620689655172414
78,1,1,0,0.008620689655172414
85,6,6,0,0.05172413793103448
97,1,1,0,0.008620689655172414
98,1,2,1,0.008620689655172414
100,1,1,0,0.008620689655172414
104,1,1,0,0.008620689655172414
108,3,3,0,0.02586206896551724
109,8,15,7,0.06896551724137931
110,2,3,1,0.017241379310344827
111,1,1,0,0.008620689655172414
112,1,1,0,0.008620689655172414
115,3,5,2,0.02586206896551724
117,1,4,3,0.008620689655172414
118,1,1,0,0.008620689655172414
123,1,1,0,0.008620689655172414
124,1,2,1,0.008620689655172414
126,2,3,1,0.017241379310344827
131,2,4,2,0.017241379310344827
138,1,5,4,0.008620689655172414
139,2,2,0,0.017241379310344827
140,1,3,2,0.008620689655172414
142,1,1,0,0.008620689655172414
146,1,1,0,0.008620689655172414
148,2,3,1,0.017241379310344827
152,1,1,0,0.008620689655172414
153,2,3,1,0.017241379310344827
155,1,1,0,0.008620689655172414
156,1,1,0,0.008620689655172414
